Data;San Giorgio D.Vento med. 10m;San Giorgio V.Vento med.10m;San Giorgio V.Vento max;San Giorgio Temperatura;San Giorgio Umidita';San Giorgio Radiazione solare
2025-01-18 00:00:00;348;6.0;8.1;3.6;68.0;
2025-01-18 00:05:00;352;5.8;7.0;3.7;68.0;
2025-01-18 00:10:00;349;6.6;7.7;3.7;67.0;
2025-01-18 00:15:00;350;6.4;7.7;3.6;67.0;0
2025-01-18 00:20:00;348;6.2;7.7;3.6;67.0;
2025-01-18 00:25:00;348;6.1;8.0;3.6;67.0;
2025-01-18 00:30:00;349;6.6;8.6;3.6;67.0;0
2025-01-18 00:35:00;346;6.3;8.6;3.5;67.0;0
2025-01-18 00:40:00;349;6.5;8.2;3.6;67.0;0
2025-01-18 00:45:00;348;5.8;8.5;3.6;67.0;0
2025-01-18 00:50:00;350;6.6;8.3;3.7;67.0;
2025-01-18 00:55:00;353;6.8;8.8;3.8;67.0;
2025-01-18 01:00:00;355;6.7;8.8;3.9;67.0;
2025-01-18 01:05:00;356;6.7;8.6;4.1;67.0;
2025-01-18 01:10:00;352;6.5;9.1;4.1;67.0;
2025-01-18 01:15:00;352;6.8;8.2;4.1;66.0;
2025-01-18 01:20:00;350;6.7;7.9;4.3;67.0;
2025-01-18 01:25:00;350;6.4;7.8;4.5;66.0;
2025-01-18 01:30:00;345;5.5;7.6;4.4;65.0;
2025-01-18 01:35:00;343;6.3;8.7;4.4;64.0;
2025-01-18 01:40:00;343;6.3;8.7;4.2;64.0;0
2025-01-18 01:45:00;344;6.8;9.3;4.2;64.0;0
2025-01-18 01:50:00;342;6.4;8.5;4.0;64.0;0
2025-01-18 01:55:00;350;6.3;8.7;4.1;65.0;0
2025-01-18 02:00:00;350;5.8;7.7;4.2;65.0;
2025-01-18 02:05:00;350;5.5;6.9;4.2;65.0;
2025-01-18 02:10:00;347;5.4;6.7;4.3;65.0;
2025-01-18 02:15:00;344;5.5;7.1;4.2;64.0;0
2025-01-18 02:20:00;341;5.2;7.4;4.2;65.0;0
2025-01-18 02:25:00;341;5.3;6.7;4.1;65.0;0
2025-01-18 02:30:00;339;5.7;6.8;4.0;65.0;0
2025-01-18 02:35:00;337;6.2;7.9;4.0;66.0;0
2025-01-18 02:40:00;339;6.1;8.2;4.1;66.0;
