match_id,attack_team,defense_team,goals,attack_ranking,defense_ranking
1,MEX,RSA,2,14,60
1,RSA,MEX,0,60,14
2,KOR,CZE,2,22,40
2,CZE,KOR,1,40,22
3,CAN,BIH,1,33,64
3,BIH,CAN,1,64,33
4,USA,PAR,4,17,54
4,PAR,USA,1,54,17
5,QAT,SUI,1,56,19
5,SUI,QAT,1,19,56
6,BRA,MAR,1,6,7
6,MAR,BRA,1,7,6
7,HAI,SCO,0,83,39
7,SCO,HAI,1,39,83
8,AUS,TUR,2,27,26
8,TUR,AUS,0,26,27
9,GER,CUW,7,10,82
9,CUW,GER,1,82,10
10,NED,JPN,2,8,18
10,JPN,NED,2,18,8
11,CIV,ECU,1,38,23
11,ECU,CIV,0,23,38
12,SWE,TUN,5,25,45
12,TUN,SWE,1,45,25
13,ESP,CPV,0,2,67
13,CPV,ESP,0,67,2
14,BEL,EGY,1,9,36
14,EGY,BEL,1,36,9
15,KSA,URU,1,58,16
15,URU,KSA,1,16,58
16,IRN,NZL,2,20,85
16,NZL,IRN,2,85,20
17,FRA,SEN,3,3,15
17,SEN,FRA,1,15,3
18,IRQ,NOR,1,55,44
18,NOR,IRQ,4,44,55
19,ARG,ALG,3,1,28
19,ALG,ARG,0,28,1
20,AUT,JOR,3,24,63
20,JOR,AUT,1,63,24
21,POR,COD,1,5,61
21,COD,POR,1,61,5
22,ENG,CRO,4,4,11
22,CRO,ENG,2,11,4
23,GHA,PAN,1,49,34
23,PAN,GHA,0,34,49
24,UZB,COL,1,50,13
24,COL,UZB,3,13,50
25,MEX,KOR,1,14,22
25,KOR,MEX,0,22,14
26,CZE,RSA,1,40,60
26,RSA,CZE,1,60,40
27,CAN,QAT,6,33,56
27,QAT,CAN,0,56,33
28,SUI,BIH,4,19,64
28,BIH,SUI,1,64,19
29,BRA,HAI,3,6,83
29,HAI,BRA,0,83,6
30,SCO,MAR,0,39,7
30,MAR,SCO,1,7,39
31,USA,AUS,2,17,27
31,AUS,USA,0,27,17
32,TUR,PAR,0,26,54
32,PAR,TUR,1,54,26
33,GER,CIV,2,10,38
33,CIV,GER,1,38,10
34,ECU,CUW,0,23,82
34,CUW,ECU,0,82,23
35,NED,SWE,5,8,25
35,SWE,NED,1,25,8
36,TUN,JPN,0,45,18
36,JPN,TUN,4,18,45
37,BEL,IRN,0,9,20
37,IRN,BEL,0,20,9
38,NZL,EGY,1,85,36
38,EGY,NZL,3,36,85
39,ESP,KSA,4,2,58
39,KSA,ESP,0,58,2
40,URU,CPV,2,16,67
40,CPV,URU,2,67,16
41,FRA,IRQ,3,3,55
41,IRQ,FRA,0,55,3
